new_rank,gene_list,old_rank,overlapped genes or not
756,EZH2,8738,0
757,RPL26L1,1293,0
758,RHOG,7119,0
759,GNG2,2067,0
760,RUNX1,3457,0
761,ETF1,3320,0
762,DCTN1,4998,0
763,CDC27,4376,0
764,DNM1,1220,0
765,CPS1,2130,0
766,TMPRSS11D,2255,0
767,PRDX1,7591,0
768,DDX18,12297,0
769,ATIC,11527,0
770,GLT8D1,169,0
771,CTNND2,486,0
772,PRPF3,214,0
773,PJA2,5571,0
774,SPAST,4222,0
775,MAP3K5,3124,0
776,TNR,2325,0
777,FZD4,1367,0
778,EED,12473,0
779,ABCG2,397,1
780,NOS3,1529,0
781,TIMP2,1134,0
782,MAPK13,1994,0
783,UPK2,242,0
784,PPP1R16B,412,0
785,HSPB1,4915,0
786,FBXO40,450,0
787,PTGER1,753,0
788,GNA11,5836,0
789,SLC2A4,3502,0
790,UTRN,1566,0
791,HAX1,526,0
792,HSPA1L,NA,0
793,SCRIB,493,0
794,SEH1L,1632,0
795,FMO2,504,0
796,RFC3,4864,0
797,SACM1L,6864,0
798,CWF19L2,104,0
799,OPCML,319,0
800,GNG3,4901,0
801,SNAP23,894,0
802,WDR3,3101,0
803,CAND1,10419,0
804,MET,6979,1
805,CDC16,1889,0
806,FLII,1837,0
807,SFMBT1,101,0
808,NPL,409,0
809,CTR9,9834,0
810,KRTAP5-9,4554,0
811,NSUN2,1025,0
812,ARMC1,932,0
813,TSSK1B,6512,0
814,DVL3,4997,0
815,HAND1,9119,0
816,NISCH,371,0
817,ITGB1,7104,0
818,NPY,5300,1
819,GNRHR,917,0
820,KNG1,5652,0
821,MAP3K1,3316,0
822,CAMK1,5719,0
823,ALDOA,1782,0
824,CDK6,4618,0
825,ZSCAN20,119,0
826,SLC2A1,13230,0
827,CAPNS1,3891,0
828,GTF3C2,325,0
829,ST13,1381,0
830,MAPT,1397,0
831,PRDM8,7045,0
832,DCN,6060,0
833,SSRP1,11998,0
834,NEK2,3095,0
835,UBXN7,869,0
836,TMX1,3298,0
837,ARF4,6384,0
838,TXNRD1,658,0
839,NCR2,2396,0
840,GNG12,1953,0
841,EPHB3,3233,0
842,RRAS,2426,0
843,DAO,10381,1
844,STK31,281,0
845,ACTR2,11529,0
846,ILK,7866,0
847,RNF111,1922,0
848,ACADM,7197,0
849,IFI16,5081,0
850,CD46,419,0
851,PSMB6,2538,0
852,STXBP3,4793,0
853,SEC23B,2336,0
854,PPIA,2539,0
855,CDH2,861,0
856,CAT,9959,1
857,SUPT16H,11946,0
858,TLR9,382,0
859,WDTC1,3248,0
860,SQSTM1,2864,0
861,APEX1,11526,0
862,MPHOSPH10,556,0
863,CDKN1A,12244,0
864,MSH6,3043,0
865,SNAP91,591,0
866,MRPL4,5613,0
867,STK4,2108,0
868,RAP1B,12683,0
869,ZMPSTE24,1751,0
870,PES1,3204,0
871,CD14,1017,0
872,PRC1,410,0
873,HIST1H2AM,152,0
874,GH1,3469,0
875,CETN3,9054,0
876,TRAF6,3700,0
877,CXXC1,1021,0
878,MARK3,2401,0
879,PIK3R1,12022,0
880,SP3,8732,0
881,H3F3B,987,0
882,PPM1A,1442,0
883,KIT,7428,0
884,SMC4,11486,0
885,STXBP1,2244,0
886,EEF1E1,3535,0
887,PLA2G6,8799,0
888,SYCP1,2121,0
889,NMRAL1,132,0
890,COL3A1,2614,1
891,CYP2A7,8295,0
892,YRDC,429,0
893,PWP1,6803,0
894,RBBP5,728,0
895,ANKRA2,2528,0
896,NPHP4,324,0
897,MYH10,2540,0
898,CYP2E1,3758,1
899,MED19,110,0
900,CRLF3,824,0
901,CHD1,8577,0
902,CDH12,90,0
903,MMP11,1585,0
904,SCN10A,5382,0
905,PTGES3,4064,0
906,UNC5B,150,0
907,DDX21,12420,0
908,SNRPB2,1756,0
909,PAX6,10586,0
910,LMNA,5532,0
911,HCK,13460,0
912,SLC4A10,183,0
913,VHL,2422,0
914,ATAD2B,1091,0
915,PSMA6,4447,0
916,LDB2,321,0
917,CAMKV,1911,0
918,ACAN,2087,0
919,SERPINA1,3887,0
920,FASLG,3637,0
921,ADCY6,2610,0
922,GRK5,906,0
923,AP3B1,2780,0
924,BAZ2B,1648,0
925,UBE2V2,8140,0
926,TIMP3,2286,0
927,NOLC1,6232,0
928,FOXO3,1716,0
929,PRPF40A,6259,0
930,CXCL10,3944,0
931,KCNAB2,288,0
932,NARS,6876,0
933,EPHA5,2260,0
934,POLR2I,7130,0
935,SMARCC1,4389,0
936,EIF4A3,12098,0
937,CLCN3,528,0
938,SLC1A2,2609,0
939,ASNS,470,1
940,PBX3,543,0
941,AMPH,597,0
942,POU6F2,1187,0
943,FLT1,10398,0
944,BTN3A3,414,0
945,SNRPA,6556,0
946,PLAUR,9503,0
947,HAPLN4,162,0
948,CACNA1I,408,0
949,GRIN1,10212,1
950,APBA1,365,0
951,AGTR1,8848,0
952,STUB1,11444,0
953,POLE2,1071,0
954,SIN3A,4639,0
955,POU2F1,1450,0
956,BMI1,9723,0
957,SPTAN1,14464,0
958,UBE2K,6999,0
959,MRPS15,1456,0
960,BSN,1643,0
961,CYP2A6,9290,0
962,EIF4A1,9523,0
963,PDE6G,14318,0
964,KDR,10585,1
965,YY1,14216,0
966,NCOA2,2599,0
967,ADAM10,2389,0
968,SNX17,327,0
969,ABT1,127,0
970,ABCF2,930,0
971,GABRA1,2799,1
972,TCERG1,9960,0
973,TKT,745,0
974,GABARAPL2,9615,0
975,CACNA1E,1587,0
976,TRAF2,11802,0
977,ALDOB,4427,0
978,SHMT1,1451,0
979,MAP1LC3B,2271,0
980,MYLK4,141,0
981,CD59,2897,0
982,MAPK8IP2,4053,0
983,LPAR1,5596,0
984,TTC31,192,0
985,BMP7,2106,0
986,MAN1A1,278,0
987,SGTA,6920,0
988,H3F3A,2349,0
989,EEF1A1,13895,0
990,CCND1,5207,1
991,CFLAR,1921,0
992,SOD2,7166,0
993,PSMD1,3754,0
994,SPARC,5159,0
995,HDAC3,8510,0
996,CARM1,2433,0
997,SNRPA1,5133,0
998,RCVRN,5560,0
999,PPP4C,1783,0
